source,target,value
Total,Top 20,7008
Total,Bottom 20,8043
Top 20,Chief Executives,1150
Top 20,Engineering Managers,143
Top 20,Pharmacists,222
Top 20,Physicians/Surgeons,806
Top 20,Lawyers,745
Top 20,Chemical Engineers,91
Top 20,Aerospace Engineers,124
Top 20,Dentists,61
Top 20,Hardware Engineers,46
Top 20,Software Engineers,1351
Top 20,Nurse Practitioners,144
Top 20,Computer Information Sys,592
Top 20,Database Admin,83
Top 20,Electrical Engineers,271
Top 20,Information Analysts,85
Top 20,Pilots/Flight Engineers,119
Top 20,Engineers - Other,493
Top 20,Mechanical Engineers,335
Top 20,Judges/Judicial,56
Top 20,Environmental Scientists,79
Bottom 20,Packaging,225
Bottom 20,Animal Caretakers,88
Bottom 20,Entertainment Attendants,79
Bottom 20,Food Servers,104
Bottom 20,Personal Care Aides,761
Bottom 20,Waiters,949
Bottom 20,Automative/Watercraft Attendants,72
Bottom 20,Packers/Packagers,382
Bottom 20,Laundry/Dry-Cleaners,135
Bottom 20,Childcare,405
Bottom 20,Cooks,1407
Bottom 20,Hosts/Hostesses,74
Bottom 20,Maids/Cleaners,781
Bottom 20,Sewing Machine Operators,166
Bottom 20,Cafeteria Attendants,133
Bottom 20,Food Prep,477
Bottom 20,Cashiers,1367
Bottom 20,Food Prep/Servers - Fast Food,197
Bottom 20,Dishwashers,172
Bottom 20,Coffee Attendants,69
Chief Executives,Men,832
Engineering Managers,Men,134
Pharmacists,Men,89
Physicians/Surgeons,Men,497
Lawyers,Men,446
Chemical Engineers,Men,73
Aerospace Engineers,Men,114
Dentists,Men,34
Hardware Engineers,Men,46
Software Engineers,Men,1084
Nurse Practitioners,Men,11
Computer Information Sys,Men,443
Database Admin,Men,46
Electrical Engineers,Men,245
Information Analysts,Men,65
Pilots/Flight Engineers,Men,112
Engineers - Other,Men,430
Mechanical Engineers,Men,311
Judges/Judicial,Men,35
Environmental Scientists,Men,58
Chief Executives,Women,318
Engineering Managers,Women,9
Pharmacists,Women,133
Physicians/Surgeons,Women,308
Lawyers,Women,299
Chemical Engineers,Women,18
Aerospace Engineers,Women,10
Dentists,Women,27
Hardware Engineers,Women,12
Software Engineers,Women,266
Nurse Practitioners,Women,133
Computer Information Sys,Women,150
Database Admin,Women,37
Electrical Engineers,Women,26
Information Analysts,Women,20
Pilots/Flight Engineers,Women,7
Engineers - Other,Women,63
Mechanical Engineers,Women,24
Judges/Judicial,Women,21
Environmental Scientists,Women,21
Packaging,Men,112
Animal Caretakers,Men,17
Entertainment Attendants,Men,48
Food Servers,Men,33
Personal Care Aides,Men,125
Waiters,Men,342
Automative/Watercraft Attendants,Men,67
Packers/Packagers,Men,166
Laundry/Dry-Cleaners,Men,55
Childcare,Men,24
Cooks,Men,892
Hosts/Hostesses,Men,24
Maids/Cleaners,Men,120
Sewing Machine Operators,Men,52
Cafeteria Attendants,Men,82
Food Prep,Men,215
Cashiers,Men,402
Food Prep/Servers - Fast Food,Men,72
Dishwashers,Men,142
Coffee Attendants,Men,20
Packaging,Women,113
Animal Caretakers,Women,71
Entertainment Attendants,Women,31
Food Servers,Women,71
Personal Care Aides,Women,636
Waiters,Women,607
Automative/Watercraft Attendants,Women,5
Packers/Packagers,Women,216
Laundry/Dry-Cleaners,Women,80
Childcare,Women,381
Cooks,Women,515
Hosts/Hostesses,Women,50
Maids/Cleaners,Women,661
Sewing Machine Operators,Women,114
Cafeteria Attendants,Women,51
Food Prep,Women,262
Cashiers,Women,965
Food Prep/Servers - Fast Food,Women,125
Dishwashers,Women,30
Coffee Attendants,Women,49
