Alarms,Fire,Hazard,Citizen_Assist,Rescue,Vehicle_Related,Other,Medical_Incident
3.91,5.80,3.89,7.86,4.50,6.27,12.43,7.95
4.34,4.05,3.86,4.82,7.25,5.67,5.93,7.33
4.13,4.41,5.56,4.15,5.00,6.50,7.45,7.87
3.88,3.51,7.00,3.86,7.00,5.37,6.93,6.57
3.95,4.21,3.88,4.67,7.00,4.84,4.85,7.70
4.41,4.43,3.00,5.00,5,7.00,8.06,7.90
4.39,4.30,5.75,5.00,4.33,8.44,7.60,7.39
4.11,4.51,4.86,6.14,3.60,7.47,5.52,8.31
4.13,3.45,4.75,12.23,5,5.33,11.25,7.62
4.44,4.30,6.71,5.40,4.50,7.20,9.56,7.73
3.97,3.66,5.00,3.17,4.33,5.06,5.70,6.59
3.97,4.96,4.45,4.00,5.00,7.63,9.83,6.88
4.35,3.92,4.40,5.25,5.50,5.97,7.75,7.06
3.73,4.23,3.67,4.40,4.00,7.12,6.90,7.73
4.91,3.94,4.53,5.53,5.00,6.63,6.44,7.43
4.36,6.18,4.38,5.38,14.88,9.61,9.83,7.98
4.40,4.39,4.40,3.67,11.00,7.36,5.33,7.65
3.95,4.26,5.83,3.78,36.11,6.82,6.86,6.51
3.90,3.62,4.50,4.91,7.00,4.36,7.64,7.14
3.73,4.41,5.00,5.55,6.38,6.83,6.00,6.81
4.36,6.51,4.00,4.43,4.83,8.94,8.81,7.36
3.70,4.83,4.09,6.33,13.20,6.19,7.06,7.70
4.13,4.71,4.67,6.13,6.80,7.74,8.50,7.79
3.78,3.09,7.33,6.40,7.50,3.92,6.33,7.02
3.92,3.19,3.67,4.18,6.00,8.20,7.17,6.85
4.03,4.21,5.00,3.00,4.00,6.00,5.78,6.39
4.00,3.47,3.50,7.26,5.00,9.67,5.44,6.70
3.89,4.44,3.79,4.17,3.75,6.12,5.17,6.91
4.44,4.27,4.36,5.14,12.00,8.06,7.18,7.55
4.16,5.04,5.00,8.43,5.00,5.47,6.08,7.36
4.71,4.02,3.67,4.56,3.67,5.75,4.15,6.56
